produtos,CLAS,vencimento,ESTOQUE
CÂNULA DE TRAQUEOSTOMIA COM BALÃO Nº 8,NULO,,0.0
CÂNULA DE TRAQUEOSTOMIA COM BALÃO Nº 8.5,UND,,1.0
CÂNULA DE TRAQUEOSTOMIA Nº 5 LATÃO CROMADO,NULO,,0.0
capa para  encardenar azul,UND,,300.0
capa para encardenar preta,UND,,300.0
CARTOLINA BRANCA,UND,,200.0
CARTOLINA COLORIDA ,UND,,2300.0
CARTOLINA DOURADA,UND,,22.0
CARTOLINA PRATA,UND,,30.0
CATEGUTE CROMADO 2,CX,,4.0
CATEGUTE CROMADO 3,CX,,3.0
CATEGUTE CROMADO 4,CX,,4.0
CATEGUTE SIMPLES 2,CX,,4.0
CATEGUTE SIMPLES 3,CX,,3.0
CATEGUTE SIMPLES 4,CX,,4.0
CATEGUTE SIMPLES 5,CX,,5.0
CATETER INTRAVENOSO 16,CX,,11.0
CATETER INTRAVENOSO 18,NULO,,0.0
CATETER INTRAVENOSO N°20,CX,,6.0
CATETER INTRAVENOSO SIMPLES 24G,CX,,7.0
CATETER PÉRIFERICO 14 G,CX,,5.0
CATETER PERIFÉRICO 16 G,CX,,11.0
CATETER PERIFÉRICO 18 G,CX,,4.0
CATETER PERIFÉRICO 20G,NULO,,0.0
CATETER PERIFÉRICO 22G,NULO,,0.0
CATETER PERIFÉRICO 22G (PONTA AZUL),NULO,,0.0
CATETER PERIFÉRICO 24G,NULO,,0.0
CATETER TIPO ÓCULOS (INFANTIL),UND,,200.0
CATETER TIPO ÓCULOS P/OXIGENEO (USO ADULTO),UND,,1158.0
CESTO DE LIXO C/ TAMPA ,,,
CESTO DE LIXO C/PEDAL,,,
CLAMP UMBILICAL,UND,,9.0
CLIPS 8/0 (e.g.),NULO,,0.0
CLIPS Nº 2 (p),CX,,4.0
CLIPS Nº 4 (m),CX,,2.0
CLIPS Nº 6 (G),CX,,6.0
CLORO,,,
COADOR G,,,
COADOR M,,,
COADOR P,,,
COLA BASTÃO 10G,UND,,54.0
COLA BRANCA 90G,UND,,0.0
COLA QUENTE GROSSA,PCT,,0.0
COLA QUENTE MENOR ,NULO,,0.0
COLAR CERVICAL MEDIO,UND,,6.0
COLETOR C/ PÁ 80 ML,NULO,,0.0
COLETOR DE MATERIAL PERFUROCORTANTE 13L,UND,,5.0
COLETOR DE MATERIAL PERFUROCORTANTE 20L,UND,,423.0
COLETOR DE MATERIAL PERFUROCORTANTE 7L  ,UND,,947.0
COLETOR S/ PÁ 50ML,NULO,,0.0
COMPRESSA DE GASE (C/ CADARÇO ou campo operatorio),NULO,,0.0
COMPRESSA DE GASE (QUEIJO)9 FIOS,UND,,103.0
COMPRESSA DE GAZE ,PCT,,7.0
"COMPRESSA DE GAZE 7,5cmx7,5cm ( estéreo)",PCT,,44348.0
COPO AMERICANO,,,
COPO DE ISOPOR,,,
COPO DESCARTÁVEL,,,
CORDA DE VARAL,,,
CORRETIVO LÍQUIDO,NULO,,0.0
CREME PREVENTIVO,UND,2025-11-01 00:00:00,24.0
DESCAPARCK 13 lt,,,
DESCARPACK 20lt,,,
descarpak 7LT,,,
DESINCRUSTANDE LÍQUIDO ,,,
DESINCRUSTANDO em pó,NULO,,0.0
DESINFETANTE ,,,
DETERGENTE,,,
detergente 500 ml,,,
DRENO DE PENROSE 01,UND,,3.0
DRENO DE PENROSE 02 ,UND,,3.0
ELÁSTICA ,PCT,,5.0
ELETRODO C/50,UND,2026-04-01 00:00:00,15.0
ENVELOPE (A4),UND,,3000.0
ENVELOPE BRANCO 260 X 360,UND,,1750.0
ENVELOPE BRANCO CARTA,UND,,14190.0
ENVELOPE PARDO 200 X 270,UND,,3000.0
ENVELOPE PEQUENO 176 X 250 ,UND,,750.0
equipo câmara  15mic injlate gc,NULO,,0.0
equipo de nutrição enteral,UND,,336.0
EQUIPO MACROGOTAS-COMPLETO,UND,,11350.0
EQUIPO micro c/ BURETA,NULO,,0.0
EQUIPO MULTIVIAS C/CLAMP,NULO,,0.0
equipo tonteira 3 vias luer simples ,NULO,,0.0
ESCADA 3 DEGRAUS ,,,
ESCOVA DE BANHEIRO,,,
ESCOVA DE LAVAR,,,
ESCOVA DE LAVAR PEQ.,,,
ESFIGMOMANÔMETRO adulto,UND,,128.0
ESFIGMOMANÔMETRO INFANTIL ( AP. DE PRESSÃO),UND,,92.0
ESFIGMOMANÔMETRO obeso ,NULO,,0.0
"ESPARADRAPO IMPERMEÁVEL 5X4,5",UND,,0.0
"ESPARADRAPOS 10CMX4,5",UND,2025-09-01 00:00:00,407.0
"ESPARADRAPOS 5CMX4,5",NULO,2025-12-01 00:00:00,34.0
ESPONJA DE LÃ DE AÇO,,,
ESPONJA MULTIUSO,,,
ESTETOSCÓPIO ,UND,,0.0
ESTILETE C/12 LÂMINA MAIOR,UND,,124.0
ESTILETE C/12 LÂMINA MENOR,UND,,49.0
ETER 1LT,UND,2025-12-01 00:00:00,19.0
ETER ALCOLIZADO 35%,UND,2025-08-01 00:00:00,10.0
EVA COM BRILHO,UND,,10.0
EVA LISO,UND,,30.0
EXTRATOR DE GRAMPO C/12,UND,,5.0
filme laser dray pro 20.2X25.3,pct,,3.0
filme laser dray pro 25.4X3.5,pct,,3.0
